year,area,decile,age,count
2012,Grampian,1,0,120
2012,Grampian,1,1,105
2012,Grampian,1,2,101
2012,Grampian,1,3,117
2012,Grampian,1,4,113
2012,Grampian,1,5,99
2012,Grampian,1,6,92
2012,Grampian,1,7,87
2012,Grampian,1,8,75
2012,Grampian,1,9,62
2012,Grampian,1,10,67
2012,Grampian,1,11,67
2012,Grampian,1,12,68
2012,Grampian,1,13,87
2012,Grampian,1,14,81
2012,Grampian,1,15,85
2012,Grampian,1,16,93
2012,Grampian,1,17,90
2012,Grampian,1,18,94
2012,Grampian,1,19,91
2012,Grampian,1,20,111
2012,Grampian,1,21,138
2012,Grampian,1,22,123
2012,Grampian,1,23,116
2012,Grampian,1,24,125
2012,Grampian,2,0,436
2012,Grampian,2,1,421
2012,Grampian,2,2,398
2012,Grampian,2,3,396
2012,Grampian,2,4,391
2012,Grampian,2,5,313
2012,Grampian,2,6,330
2012,Grampian,2,7,267
2012,Grampian,2,8,266
2012,Grampian,2,9,247
2012,Grampian,2,10,282
2012,Grampian,2,11,248
2012,Grampian,2,12,270
2012,Grampian,2,13,262
2012,Grampian,2,14,253
2012,Grampian,2,15,247
2012,Grampian,2,16,265
2012,Grampian,2,17,276
2012,Grampian,2,18,272
2012,Grampian,2,19,321
2012,Grampian,2,20,436
2012,Grampian,2,21,481
2012,Grampian,2,22,450
2012,Grampian,2,23,463
2012,Grampian,2,24,456
2012,Grampian,3,0,479
2012,Grampian,3,1,488
2012,Grampian,3,2,449
2012,Grampian,3,3,411
2012,Grampian,3,4,421
2012,Grampian,3,5,345
2012,Grampian,3,6,370
2012,Grampian,3,7,347
2012,Grampian,3,8,323
2012,Grampian,3,9,334
2012,Grampian,3,10,325
2012,Grampian,3,11,307
2012,Grampian,3,12,346
2012,Grampian,3,13,357
2012,Grampian,3,14,372
2012,Grampian,3,15,361
2012,Grampian,3,16,388
2012,Grampian,3,17,405
2012,Grampian,3,18,380
2012,Grampian,3,19,385
2012,Grampian,3,20,572
2012,Grampian,3,21,599
2012,Grampian,3,22,563
2012,Grampian,3,23,648
2012,Grampian,3,24,618
2012,Grampian,4,0,694
2012,Grampian,4,1,645
2012,Grampian,4,2,595
2012,Grampian,4,3,640
2012,Grampian,4,4,603
2012,Grampian,4,5,537
2012,Grampian,4,6,490
2012,Grampian,4,7,491
2012,Grampian,4,8,468
2012,Grampian,4,9,465
2012,Grampian,4,10,462
2012,Grampian,4,11,438
2012,Grampian,4,12,483
2012,Grampian,4,13,433
2012,Grampian,4,14,457
2012,Grampian,4,15,485
2012,Grampian,4,16,524
2012,Grampian,4,17,516
2012,Grampian,4,18,674
2012,Grampian,4,19,868
2012,Grampian,4,20,1123
2012,Grampian,4,21,1143
